40367728,MIMIS RESTAURANT & BAR,984 SECOND AVENUE 10022,"2126884692,40.756231321119685,-73.96749434049059
40366987,EL CHARRO ESPANOL,4 CHARLES STREET 10014,"2122429547,40.73523292386142,-74.0006862334821
40367365,FLAME RESTAURANT COFFEE HOUSE,893 9 AVENUE 10019,"2127657562,40.76837984535467,-73.98541838375058
40367797,ONE IF BY LAND TWO IF BY SEA,17 BARROW STREET 10014,"2122558649,40.732614194290704,-74.00266064467223
40367841,FIORELLOS,1900 BROADWAY 10023,"2125955330,40.77137826329732,-73.98200159399755
40369461,CAFE UN DEUX TROIS,123 WEST 44 STREET 10036,"2123544148,40.75661625433776,-73.98423004747792
40374192,ELIO'S,1621 SECOND AVENUE 10028,"2127722242,40.77671923800352,-73.952626447152
40369461,CAFE UN DEUX TROIS,123 WEST 44 STREET 10036,"2123544148,40.75661625433776,-73.98423004747792
40367407,JOHN'S RESTAURANT,302 EAST 12 STREET 10003,"2124759531,40.73078428167037,-73.98541208849628
40367189,BROOME STREET BAR,363 WEST BROADWAY 10013,"2129252086,40.723049188470384,-74.0031552789921
40368338,BRADY'S BAR,1583 2 AVENUE 10028,"2128616070,40.77539033050044,-73.95359647839393
40367715,LA BONNE SOUPE BISTRO,48 WEST 55 STREET 10019,"2125867650,40.7624850033813,-73.9769210557613
40369619,MUDVILLE SALOON,126 CHAMBERS STREET 10007,"2129640946,40.71530523335093,-74.00883260284155
40369418,CAFFE REGGIO,119 MAC DOUGAL STREET 10012,"2124759557,40.73022641601739,-74.00033870126924
40369580,EL POTE ESPANOL,718 2 AVENUE 10016,"2128896680,40.74769172859152,-73.97372433460953
40369753,VIAND CAFE,1011 MADISON AVENUE 10075,"2122498250,-36.84653760499958,174.7394108800006
40369775,THE CUPPING ROOM,359 WEST BROADWAY 10013,"2129252898,40.722976509759235,-74.00321722609328
40368725,CAFE RIAZOR,245 WEST 16 STREET 10011,"2127272132,40.74066699548655,-74.00050975681899
40368763,THE BROOK,111 EAST 54 STREET 10022,"2127537020,40.7594671277069,-73.97156989353493
40369940,THE NEW AMITY RESTAURANT,1134 MADISON AVENUE 10028,"2128613255,40.7797300063358,-73.9596772372139
40368157,ELEPHANT & CASTLE,68 GREENWICH AVENUE 10011,"2122431400,40.73614847237519,-74.00082244120188
40374192,ELIO'S,1621 SECOND AVENUE 10028,"2127722242,40.77671923800352,-73.952626447152
40368157,ELEPHANT & CASTLE,68 GREENWICH AVENUE 10011,"2122431400,40.73614847237519,-74.00082244120188
40369017,PALM TOO,840 2 AVENUE 10017,"2126975198,40.75158132881637,-73.97088412000534
40368271,CHERRY TAVERN,441 EAST 6 STREET 10009,"2127771448,40.7256865825708,-73.98440889295523
40368313,RED FLAME DINER,67 WEST 44 STREET 10036,"2128693965,40.75570907491499,-73.98205906247495
40369139,PERGOLA DES ARTISTES,252 WEST 46 STREET 10036,"2123027500,40.75943396430711,-73.98717212109568
40369165,REIF'S TAVERN,302 EAST 92 STREET 10128,"2124260519,40.78147464164249,-73.94852128392932
40369857,CAPTAIN'S KETCH,70 PINE STREET 10270,"2124221965,-6.22124010099958,106.79500007700057
40368555,IL CORTILE RESTAURANT,123 MULBERRY STREET 10013,"2122266060,40.71789790596466,-73.99812909398167
40369954,VOLARE RESTAURANT,147 WEST FOURTH STREET 10012,"2127772849,40.73145584231435,-74.00039842254836
40368552,SAMMY'S STEAKHOUSE,155-157 CHRISTIE ST. 10002,"2126730330,40.7158237545637,-73.99489734603486
40368752,RAOULS,180 PRINCE STREET 10012,"2129663518,40.726295369636716,-74.00201277217087
40369958,SPARKS STEAK HOUSE,210 EAST 46 STREET 10017,"2126874855,40.753103631928184,-73.9721310174317
40370436,ROSSINI'S,108 EAST 38 STREET 10016,"2126830135,40.74937327465801,-73.97902895781937
40370236,DIVINO RISTORANTE,1556 2 AVENUE 10028,"2128611096,55.673700030000475,12.57369997300043
40369016,VIAND COFFEE SHOP,673 MADISON AVENUE 10065,"2127516622,40.764952128838786,-73.97037482403812
40369810,PETE'S TAVERN,129 EAST 18 STREET 10003,"2124737676,40.73642418113212,-73.98679744284692
40369878,VILLA MOSCONI RESTAURANT,69 MACDOUGAL STREET 10012,"2126730390,40.728480605296795,-74.00180431651518
40370497,CUCINA VIVOLO,138-140 EAST 74 STREET 10021,"2127174700,40.76720226407434,-73.95050688088702
40368971,LA MANGEOIRE,1008 2 AVENUE 10022,"2127597086,46.54140003900051,6.602190016000463
40369400,WHITE HORSE TAVERN,25 BRIDGE STREET 10004,"2126689046,40.703587869285855,-74.01235977448317
40370759,CAFE ESPANOL,172 BLEECKER STREET 10012,"2125050657,40.72885148390992,-74.00063244323184
40369495,DAN TEMPURA,2018 BROADWAY 10023,"2128775255,40.776149978839555,-73.98199624662868
